4219,55480,0650,2.413,11.704
4219,55480,0678,2.306,19.3578
4300,55528,0660,2.362,13.4069
4367,55566,0506,2.822,21.9147
4300,55528,0250,2.297,10.9118
4219,55480,0222,2.86,18.8851
4219,55480,0216,2.511,17.7072
4220,55447,0434,2.249,11.4644
4219,55480,0132,2.22,11.151
4220,55447,0470,2.692,12.7133
4220,55447,0562,2.413,16.3687
4220,55447,0453,2.455,12.0985
4367,55566,0806,2.189,11.198
4220,55447,0348,2.2,12.2262
4367,55566,0808,2.35,18.8822
4220,55447,0366,2.391,18.9185
4220,55447,0730,3.075,10.5112
4367,55566,0889,2.255,10.0653
4367,55566,0918,2.882,16.6625
4220,55447,0276,3.512,12.0989
4367,55566,0910,3.072,17.2621
4368,55559,0600,2.244,10.4131
4221,55443,0507,2.74,23.5026
4302,55531,0458,2.319,10.6827
4302,55531,0566,2.606,11.2898
4220,55447,0166,2.921,10.0294
4220,55447,0867,2.205,15.2474
4220,55447,0854,2.564,11.6531
4302,55531,0654,2.333,25.2489
4367,55566,0078,2.238,17.8271
4302,55531,0345,2.313,21.0616
4220,55447,0882,2.302,12.4128
4220,55447,0904,2.223,10.2563
4221,55443,0618,2.854,11.0951
3587,55182,0570,2.23,23.6137
4368,55559,0714,2.386,14.4772
4220,55447,0966,2.741,10.1402
4221,55443,0288,2.843,12.3534
4302,55531,0818,2.405,16.4184
4368,55559,0809,2.295,10.4333
4302,55531,0138,2.328,19.7374
4368,55559,0162,2.172,15.6342
4302,55531,0891,2.475,10.9161
4302,55531,0906,2.317,18.2253
4368,55559,0886,2.312,11.0742
4368,55559,0866,2.337,15.7437
3587,55182,0346,2.004,16.2186
4303,55508,0414,2.235,27.272
3588,55184,0491,2.317,14.7291
3588,55184,0511,2.671,32.3948
3588,55184,0512,2.925,13.8232
3588,55184,0531,2.36,13.6939
4221,55443,0840,2.46,13.0977
3588,55184,0486,2.852,10.0576
4302,55531,0974,2.816,15.3412
3587,55182,0282,2.205,10.1536
3587,55182,0734,3.239,11.0307
3588,55184,0552,1.9,23.8769
4302,55531,0964,2.184,12.8956
4222,55444,0506,2.251,10.5398
4222,55444,0476,2.238,10.451
4303,55508,0726,2.305,13.3059
4303,55508,0744,2.211,10.5736
3586,55181,0958,2.17,10.9646
3588,55184,0544,2.287,11.8366
4368,55559,0936,2.35,11.28
4304,55506,0560,1.943,20.4175
4303,55508,0296,2.897,15.7138
4302,55531,0994,2.215,13.0996
4304,55506,0404,2.198,10.1352
4303,55508,0818,2.247,12.3703
4303,55508,0812,2.052,17.9642
4303,55508,0206,3.206,14.452
4304,55506,0420,2.181,15.9432
4368,55559,0030,2.273,10.9194
4303,55508,0178,2.15,19.8465
3587,55182,0132,3.436,13.7111
4304,55506,0674,2.226,12.6057
3587,55182,0100,2.17,18.0837
4303,55508,0910,2.25,20.5842
3588,55184,0726,2.758,22.6494
3589,55186,0553,2.027,16.8209
4303,55508,0938,2.277,21.1868
4222,55444,0710,2.563,10.3218
4303,55508,0978,2.143,14.6884
4304,55506,0770,2.049,11.3617
4222,55444,0744,2.8,11.1608
4303,55508,0986,2.25,27.3139
4304,55506,0800,2.299,14.3736
4222,55444,0208,2.555,12.858
4222,55444,0802,2.349,13.5701
4222,55444,0832,2.553,18.6917
3589,55186,0348,2.127,11.9817
3590,55201,0501,2.317,12.6268
4304,55506,0158,2.455,16.4739
3588,55184,0954,1.925,15.6874
3590,55201,0469,2.82,35.4164
4305,55509,0447,2.43,14.2461
4370,55534,0402,2.809,13.3296
4370,55534,0608,2.423,18.5413
4304,55506,0936,2.289,10.8948
4223,55451,0412,1.914,18.2148
4223,55451,0372,2.29,10.819
4223,55451,0644,2.295,16.0522
4370,55534,0312,2.851,11.337
4305,55509,0686,2.111,14.6217
3590,55201,0646,2.125,18.3831
3590,55201,0630,2.15,35.6531
4306,55584,0374,2.173,13.9767
4370,55534,0243,2.731,14.1112
4223,55451,0328,2.859,12.7018
4305,55509,0754,2.682,12.2573
4223,55451,0734,2.209,28.7711
3590,55201,0718,2.82,17.0458
4223,55451,0724,2.875,25.084
4370,55534,0198,2.181,17.3024
4370,55534,0847,2.257,15.1045
4306,55584,0680,2.525,12.9099
4305,55509,0764,2.607,12.0182
4305,55509,0279,2.318,10.0629
4370,55534,0162,3.136,13.625
4306,55584,0686,2.173,18.7218
4223,55451,0794,2.359,16.0463
3590,55201,0284,2.529,30.6669
4370,55534,0878,2.417,12.6795
4370,55534,0871,2.212,11.9452
4223,55451,0824,2.612,13.2747
4223,55451,0203,2.694,12.2791
3590,55201,0748,2.323,35.797
4223,55451,0874,2.223,14.5697
4224,55481,0526,2.305,14.3394
4370,55534,0932,2.363,11.7256
4223,55451,0145,3.03,17.9037
4305,55509,0884,2.274,10.8138
4223,55451,0882,1.95,10.3868
3590,55201,0840,2.33,16.2735
3590,55201,0172,2.34,10.5139
4224,55481,0546,2.245,29.5109
4305,55509,0910,2.191,13.1861
3590,55201,0112,1.937,15.1856
4223,55451,0072,1.949,28.1263
4224,55481,0628,2.273,38.7644
4223,55451,0968,2.795,10.6588
4223,55451,0956,2.932,10.1089
4306,55584,0074,2.295,28.9834
4224,55481,0682,2.835,11.3491
4224,55481,0726,2.51,24.3474
4307,55531,0624,2.305,12.0289
4224,55481,0226,2.21,28.2636
4307,55531,0694,2.196,12.5907
4224,55481,0830,2.495,12.5228
4224,55481,0186,2.254,14.2151
4307,55531,0320,2.168,16.245
4224,55481,0066,2.748,12.0125
4307,55531,0190,2.445,12.9631
4225,55455,0558,2.762,14.2187
4308,55565,0174,2.527,26.2123
4308,55565,0824,2.931,14.3377
4372,55541,0647,2.367,20.9042
4224,55481,0974,2.637,11.3121
4372,55541,0342,2.455,18.1147
4311,55506,0484,3.176,19.4596
3735,55209,0532,4.164,11.2461
4225,55455,0358,2.411,11.4393
4225,55455,0742,2.27,11.0527
4372,55541,0294,2.234,12.78
4311,55506,0426,2.443,19.7315
3735,55209,0599,2.148,10.8544
4225,55455,0810,3.453,10.0517
3735,55209,0614,2.299,10.6857
4225,55455,0842,2.285,22.1089
4225,55455,0840,2.55,20.7336
4225,55455,0893,2.627,10.6802
4226,55475,0566,2.297,13.3892
4372,55541,0895,2.824,10.8733
4226,55475,0544,3.443,13.1272
4225,55455,0900,2.265,11.7311
4225,55455,0926,1.913,12.9194
4226,55475,0385,2.955,14.8
4225,55455,0950,2.371,14.6274
3736,55214,0432,2.156,16.7817
4309,55528,0239,2.396,13.8202
4372,55541,0954,2.204,29.0902
4309,55528,0826,3.062,16.8156
4226,55475,0684,3.11,22.572
4309,55528,0836,2.038,11.6884
4309,55528,0814,2.34,13.9618
4551,55569,0460,2.574,11.7454
3735,55209,0834,4.435,13.8138
4372,55541,0990,2.187,10.1064
4309,55528,0198,2.348,12.0907
4226,55475,0256,2.112,13.3396
4311,55506,0910,2.275,29.1904
4226,55475,0735,2.708,11.406
4309,55528,0923,2.258,10.5467
4311,55506,0976,2.767,11.4252
4226,55475,0780,2.358,20.3623
4551,55569,0326,2.285,16.7534
4226,55475,0826,2.957,10.7355
4227,55481,0505,2.955,12.6182
4551,55569,0740,3.001,13.324
4226,55475,0874,2.212,13.1781
4227,55481,0544,2.834,16.4042
4309,55528,0987,3.503,13.8126
4312,55511,0556,3.324,12.2194
4227,55481,0595,2.524,12.3485
4312,55511,0340,3.182,10.5999
4312,55511,0714,2.522,13.2712
4227,55481,0648,3.269,12.1573
4315,55503,0357,2.355,12.1005
4227,55481,0664,2.23,11.4038
4315,55503,0236,2.252,10.386
4312,55511,0846,2.157,12.4897
4227,55481,0218,2.196,13.9473
4227,55481,0858,3.182,10.2142
4353,55532,0728,2.26,14.2948
4312,55511,0036,2.167,11.1295
4228,55484,0424,2.567,12.8369
4353,55532,0174,2.825,13.2055
4227,55481,0950,2.663,11.3436
4227,55481,0027,2.75,26.6864
4353,55532,0842,2.544,10.7457
4228,55484,0668,2.335,10.6795
4228,55484,0775,2.177,11.2229
4424,55532,0594,2.402,15.007
4352,55533,0640,2.477,10.0302
4229,55501,0552,3.836,24.8521
4229,55501,0424,2.263,17.804
4228,55484,0096,2.148,19.1403
4352,55533,0724,2.349,12.3265
4424,55532,0679,2.1,11.1697
4228,55484,0068,2.274,23.9663
4352,55533,0788,2.808,10.7929
4352,55533,0790,2.263,14.8456
4229,55501,0641,2.134,15.79
4228,55484,0990,2.252,10.0164
4229,55501,0324,2.399,11.0488
4229,55501,0336,2.64,11.1457
4229,55501,0337,4.105,18.1436
4310,55508,0629,2.471,13.1942
4229,55501,0763,2.451,10.4382
4553,55584,0566,2.414,27.5047
4424,55532,0104,2.261,10.3995
4229,55501,0784,2.375,13.8418
4310,55508,0308,2.43,13.7188
4310,55508,0302,2.079,13.8467
4229,55501,0222,2.251,11.8101
4310,55508,0252,2.746,17.195
4230,55483,0538,2.561,10.3765
4553,55584,0374,2.687,15.3519
4229,55501,0157,2.425,27.7162
4310,55508,0846,2.674,17.8418
4310,55508,0842,2.45,15.7806
4422,55533,0438,3.25,16.2587
4276,55505,0292,2.375,13.4272
4351,55538,0620,2.197,13.4288
4276,55505,0716,2.24,14.1437
4229,55501,0071,2.732,10.8368
4276,55505,0798,2.705,11.4651
4229,55501,0994,3.181,21.8469
4549,55556,0524,2.744,10.2055
4553,55584,0150,2.46,17.6308
4230,55483,0694,2.368,14.2604
4230,55483,0682,2.273,12.2232
4549,55556,0578,3.493,11.5202
4276,55505,0148,2.112,10.7697
4230,55483,0318,2.238,11.6796
4230,55483,0719,2.569,11.1668
4553,55584,0118,2.4,12.6504
4422,55533,0702,2.709,11.0083
4548,55565,0370,2.223,14.6523
4661,55614,0688,2.61,10.7578
4230,55483,0808,2.232,10.6926
4274,55508,0426,2.11,11.0258
4230,55483,0205,2.756,13.1525
4275,55501,0522,2.613,20.5077
4275,55501,0474,2.383,17.7514
4275,55501,0426,2.897,19.1755
4548,55565,0317,2.221,11.1409
